,close,date,high,low,open,volume
553,342.0,2018-11-15 11:45:00+05:30,342.0,342.0,342.0,0
554,342.0,2018-11-15 12:00:00+05:30,342.0,342.0,342.0,75
555,342.0,2018-11-15 12:15:00+05:30,342.0,342.0,342.0,0
556,342.0,2018-11-15 12:30:00+05:30,342.0,342.0,342.0,0
557,342.0,2018-11-15 12:45:00+05:30,342.0,342.0,342.0,0
558,332.6,2018-11-15 13:00:00+05:30,342.0,332.6,342.0,225
559,332.6,2018-11-15 13:15:00+05:30,332.6,332.6,332.6,0
560,332.6,2018-11-15 13:30:00+05:30,332.6,332.6,332.6,0
561,332.6,2018-11-15 13:45:00+05:30,332.6,332.6,332.6,0
562,332.6,2018-11-15 14:00:00+05:30,332.6,332.6,332.6,0
563,333.3,2018-11-15 14:15:00+05:30,335.0,311.7,332.6,600
564,325.7,2018-11-15 14:30:00+05:30,333.3,325.7,333.3,75
565,332.8,2018-11-15 14:45:00+05:30,332.8,325.7,325.7,150
566,339.65,2018-11-15 15:00:00+05:30,339.65,324.75,332.8,675
567,339.65,2018-11-15 15:15:00+05:30,339.65,339.65,339.65,0
568,318.3,2018-11-16 09:15:00+05:30,337.85,318.3,337.85,225
569,318.3,2018-11-16 09:30:00+05:30,318.3,318.3,318.3,0
570,304.05,2018-11-16 09:45:00+05:30,318.3,303.3,318.3,600
571,304.05,2018-11-16 10:00:00+05:30,304.05,304.05,304.05,0
572,304.05,2018-11-16 10:15:00+05:30,304.05,304.05,304.05,0
573,301.05,2018-11-16 10:30:00+05:30,304.05,299.55,304.05,300
574,307.95,2018-11-16 10:45:00+05:30,313.0,300.5,301.05,975
575,307.95,2018-11-16 11:00:00+05:30,307.95,307.95,307.95,600
576,312.65,2018-11-16 11:15:00+05:30,314.5,307.95,307.95,600
577,312.65,2018-11-16 11:30:00+05:30,312.65,312.65,312.65,0
578,312.65,2018-11-16 11:45:00+05:30,312.65,312.65,312.65,0
579,312.65,2018-11-16 12:00:00+05:30,312.65,312.65,312.65,0
580,312.65,2018-11-16 12:15:00+05:30,312.65,312.65,312.65,0
581,312.65,2018-11-16 12:30:00+05:30,312.65,312.65,312.65,0
582,312.65,2018-11-16 12:45:00+05:30,312.65,312.65,312.65,0
583,312.65,2018-11-16 13:00:00+05:30,312.65,312.65,312.65,0
584,312.65,2018-11-16 13:15:00+05:30,312.65,312.65,312.65,0
585,310.25,2018-11-16 13:30:00+05:30,316.35,310.25,312.65,525
586,310.25,2018-11-16 13:45:00+05:30,310.25,310.25,310.25,0
587,310.25,2018-11-16 14:00:00+05:30,310.25,310.25,310.25,0
588,310.25,2018-11-16 14:15:00+05:30,310.25,310.25,310.25,0
589,310.25,2018-11-16 14:30:00+05:30,310.25,310.25,310.25,0
590,310.25,2018-11-16 14:45:00+05:30,310.25,310.25,310.25,0
591,305.0,2018-11-16 15:00:00+05:30,315.0,305.0,310.25,375
592,306.0,2018-11-16 15:15:00+05:30,315.45,305.0,305.0,300
593,282.9,2018-11-19 09:15:00+05:30,291.6,279.7,279.7,2250
594,311.15,2018-11-19 09:30:00+05:30,311.15,282.9,282.9,675
595,293.95,2018-11-19 09:45:00+05:30,311.15,293.95,311.15,1350
596,294.0,2018-11-19 10:00:00+05:30,296.2,291.95,293.95,2925
597,295.65,2018-11-19 10:15:00+05:30,297.9,294.0,294.0,900
598,296.0,2018-11-19 10:30:00+05:30,301.9,295.65,295.65,8025
599,295.75,2018-11-19 10:45:00+05:30,296.0,295.5,296.0,225
600,295.45,2018-11-19 11:00:00+05:30,295.75,293.0,295.75,750
601,299.55,2018-11-19 11:15:00+05:30,299.55,295.45,295.45,750
602,297.0,2018-11-19 11:30:00+05:30,297.0,296.4,296.5,525
603,293.45,2018-11-19 11:45:00+05:30,297.0,293.45,297.0,225
604,293.45,2018-11-19 12:00:00+05:30,293.5,289.95,293.45,1125
605,291.0,2018-11-19 12:15:00+05:30,293.95,290.95,293.45,600
606,296.05,2018-11-19 12:30:00+05:30,296.05,291.0,291.0,750
607,294.95,2018-11-19 12:45:00+05:30,297.5,294.0,296.05,1725
608,294.45,2018-11-19 13:00:00+05:30,296.55,293.05,294.95,375
609,293.3,2018-11-19 13:15:00+05:30,294.45,291.5,294.45,525
610,289.45,2018-11-19 13:30:00+05:30,293.3,287.5,293.3,2550
611,289.05,2018-11-19 13:45:00+05:30,291.5,287.05,289.45,1800
612,283.55,2018-11-19 14:00:00+05:30,289.05,280.45,289.05,3150
613,286.0,2018-11-19 14:15:00+05:30,286.5,277.5,283.55,3525
